season,19,accessibility online,agencies,agencies appropriations,appropriations,appropriations public,authentication,bill,bills,business,care,cares,cares public,computing including,consolidated,consolidated appropriations,consumer,copyright office,covid,covid 19,critical,critical infrastructure,customs,cybersecurity,cybersecurity cloud,development,dues,education,employee,faa,fairness,financial,food,government,government procurement,health,health care,housing,housing urban,implementation,including implementation,information,infrastructure,infrastructure protection,infringement copyright,intelligence,international terminal,internet things,iot,it modernization,law,law issues,licensing,mobile,music,music licensing,net,net neutrality,neutrality rate,office,office modernization,organization,payments security,personal,personal data,policy,postal rates,procurement,protection payments,public law,rate,rate modernization,rates,reauthorization,reform postal,related agencies,related cybersecurity,related surface,safety,security authentication,services,small,small business,stem,surface,surface transportation,terminal,terminal dues,things,training,transportation,transportation housing,transportation including,uavs,urban,urban development,us,vehicles uavs,video net,world
2018 4th Quarter - Report,0,1,2,2,8,4,2,2,0,0,2,0,0,1,3,3,1,1,0,0,1,1,2,3,1,2,1,2,2,2,2,1,2,4,3,2,2,2,2,1,1,0,1,1,1,1,1,2,1,2,11,4,2,0,2,1,1,1,1,1,1,2,1,0,0,2,1,3,1,11,1,1,1,2,1,2,2,1,2,1,1,1,0,1,1,1,1,1,2,2,3,2,1,1,2,2,3,1,1,2
2018 3rd Quarter - Report,0,1,0,0,9,1,2,2,2,0,2,0,0,1,3,3,1,1,0,0,1,1,2,3,1,2,1,2,2,4,2,1,2,4,3,2,2,2,2,1,1,0,1,1,1,1,1,2,1,2,5,1,2,0,2,1,1,1,1,1,1,2,1,0,0,2,1,3,1,5,1,1,1,2,1,0,2,1,4,1,1,1,0,1,1,1,1,1,2,2,4,2,1,1,2,2,3,1,1,2
2018 2nd Quarter - Report,1,1,0,0,6,0,2,2,2,0,2,0,0,1,2,2,0,1,0,0,1,1,2,3,1,2,1,2,1,4,2,1,1,4,3,2,2,2,2,1,1,0,1,1,1,1,1,2,1,2,4,0,2,1,2,1,1,1,1,1,1,2,1,0,0,1,1,3,1,4,1,1,1,2,2,0,2,1,3,1,0,1,0,1,1,1,1,1,2,2,4,2,1,1,2,2,3,1,1,2
2018 1st Quarter - Report,1,1,0,0,5,0,2,6,2,0,2,0,0,1,2,2,0,1,0,0,1,1,2,3,1,2,1,2,1,4,2,1,1,5,3,2,2,2,2,0,0,0,1,1,1,1,1,2,1,2,4,0,2,1,2,1,1,1,1,1,1,1,1,0,0,1,1,3,1,4,1,1,1,2,2,0,2,1,3,1,0,1,0,1,1,1,1,1,2,2,5,2,1,1,2,2,3,1,1,1
2017 4th Quarter - Report,1,1,0,0,2,0,2,3,2,0,0,0,0,1,0,0,0,1,0,0,1,1,1,3,1,2,1,2,0,4,2,1,1,5,3,0,0,2,2,0,0,0,1,1,1,0,1,2,1,2,3,0,2,1,2,1,1,1,1,1,1,0,1,0,0,0,1,3,1,3,1,1,1,2,1,0,2,1,2,1,0,1,0,1,1,1,1,1,2,2,5,2,1,1,2,2,1,1,1,0
2017 3rd Quarter - Report,1,1,0,0,2,0,1,4,2,3,0,0,0,1,0,0,1,1,0,0,1,1,1,2,1,2,1,2,0,4,1,3,1,5,3,0,0,2,2,0,0,0,1,1,1,0,1,1,0,2,3,0,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,3,1,3,1,1,1,2,1,0,2,1,2,1,0,3,3,1,1,1,1,1,1,2,5,2,1,1,2,2,1,1,1,0
2017 2nd Quarter - Report,1,1,0,0,2,0,1,5,2,3,0,0,0,1,0,0,1,1,0,0,1,1,1,2,1,2,1,1,0,4,0,3,0,5,3,0,0,2,2,0,0,0,1,1,1,0,1,0,0,3,2,0,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,3,1,2,1,1,1,2,1,0,2,1,2,1,0,3,3,1,1,1,1,1,0,2,4,2,1,1,2,2,1,1,1,0
2017 1st Quarter - Report,1,1,0,0,3,0,1,5,2,3,0,0,0,1,0,0,1,1,0,0,1,1,0,2,1,2,1,2,0,2,0,2,0,1,0,0,0,2,2,0,0,0,1,1,1,0,1,0,0,1,1,0,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,2,1,1,1,0,3,3,1,1,1,1,1,0,2,4,2,1,1,2,2,0,1,1,0
2016 4th Quarter - Report,0,0,1,1,4,0,1,2,2,3,0,0,0,1,0,0,3,1,0,0,1,1,0,2,1,2,1,3,0,3,0,3,0,0,0,1,0,2,2,0,0,0,1,1,1,0,1,0,0,0,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,3,1,1,2,1,2,1,1,3,3,1,1,1,1,1,0,2,4,2,1,1,2,2,1,1,1,0
2016 3rd Quarter - Report,0,0,1,1,4,0,1,2,2,3,0,0,0,1,0,0,3,1,0,0,1,1,0,2,1,2,1,3,0,3,0,3,0,0,0,1,0,2,2,0,0,0,1,1,1,0,1,0,0,0,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,3,1,1,2,1,2,1,1,3,3,1,1,1,1,1,0,2,4,2,1,1,2,2,1,1,1,0
2016 2nd Quarter - Report,0,0,1,1,4,0,1,2,2,3,0,0,0,1,0,0,3,1,0,0,1,1,0,2,1,2,1,3,0,1,0,2,0,0,0,1,0,2,2,0,0,0,1,1,1,0,1,0,0,0,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,3,1,1,2,1,0,1,1,3,3,1,1,1,1,1,0,2,4,2,1,1,2,2,1,1,1,0
2016 1st Quarter - Report,0,0,0,0,2,0,1,3,2,3,0,0,0,1,0,0,2,1,0,0,1,1,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,1,1,1,0,1,0,0,0,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,3,1,0,2,1,0,1,0,3,3,0,1,1,1,1,0,1,4,2,1,1,2,2,1,1,1,0
2015 4th Quarter - Report,0,1,0,0,2,0,1,0,2,3,0,0,0,1,1,1,2,1,0,0,1,1,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,1,1,0,0,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,0,1,0,2,1,0,1,0,3,3,0,2,2,1,1,0,0,5,2,1,1,2,2,1,1,1,0
2015 3rd Quarter - Report,0,1,0,0,1,0,1,0,2,1,0,0,0,1,0,0,1,1,0,0,1,1,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,1,1,0,0,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,0,1,0,2,1,0,1,0,1,1,0,1,1,1,1,0,0,4,2,1,1,2,2,1,1,1,0
2015 2nd Quarter - Report,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,1,1,0,0,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,0,1,0,2,1,0,1,0,0,0,0,1,1,1,1,0,0,4,2,1,1,2,2,1,1,1,0
2015 1st Quarter - Report,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,2,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0
2014 4th Quarter - Report,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,3,3,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
2014 3rd Quarter - Report,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,3,3,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
2014 2nd Quarter - Report,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2014 1st Quarter - Report,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013 4th Quarter - Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013 3rd Quarter - Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013 2nd Quarter - Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013 1st Quarter - Report,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012 4th Quarter - Report,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012 3rd Quarter - Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012 2nd Quarter - Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012 1st Quarter - Report,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 4th Quarter - Report,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 3rd Quarter - Report,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 2nd Quarter - Report,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011 1st Quarter - Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
