season,abroad,access data,access electronic,activity,advertising intellectual,allocation white,amendments,anti,antitrust,breach issues,broadband infrastructure,businesses small,by,cloud,cloud computing,communications transactional,computing,congressional,content,controversial,cyber,data breach,data policy,data stored,devices workplace,digital privacy,do,do not,email,email privacy,encryption,encryption standards,enforcement access,exceptions,fcc,fcc nprm,federal,government,government access,harbor,health data,in video,infrastructure,infrastructure deployment,intermediary,intermediary liability,internet freedom,issues international,it health,liability,licensing,music,not,not track,nprm,online controversial,online terrorist,open internet,pacific,pacific partnership,partnership,policies online,power,privacy amendments,programming,programming promoting,promoting,promoting broadband,quantum,records,reform spectrum,reporting,reporting online,rules international,safe,safe harbor,service,sharing,stored,stored abroad,student,student digital,technologies,technology encryption,terrorist,terrorist activity,track,trade agreement,trafficking,trans,trans pacific,transactional,transactional records,us,use,venue,video competition,video programming,workplace,workplace policies
2018 4th Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,0,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,2,1,0,1,2,1,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2018 3rd Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,0,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,2,1,0,1,2,1,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2018 2nd Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,2,1,0,1,2,1,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,3,0,0,1,1,1,0,1,1,1,1,1
2018 1st Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,1,1,1,2,1,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,2,0,0,1,1,1,0,1,1,1,1,1
2017 4th Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,2,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,2,0,0,1,1,3,0,1,1,1,1,1
2017 3rd Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,2,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,2,0,0,1,1,2,0,1,1,1,1,1
2017 2nd Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,2,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,0,1,1,1,1,1
2017 1st Quarter - Report,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,0,0,1,1,1,1
2016 4th Quarter - Report,1,1,1,0,1,1,2,0,0,1,1,1,0,0,0,2,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,3,1,2,2,1,1,1,1,0,2,1,0,0,1,2,2,0,0,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,0,0,1,1,1,1,1
2016 3rd Quarter - Report,2,2,1,1,1,1,2,0,0,1,1,1,0,0,0,2,0,0,1,1,0,1,1,2,1,1,0,0,1,1,1,1,2,0,0,0,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2,3,1,1,2,1,1,1,1,0,2,1,1,1,1,2,2,0,0,2,2,1,1,1,1,1,1,0,0,0,2,2,2,2,0,0,1,1,1,1,1
2016 2nd Quarter - Report,2,2,1,1,1,1,2,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,2,1,1,0,0,1,1,1,1,2,0,0,0,1,1,1,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2,3,1,2,2,1,1,1,1,0,1,1,1,1,1,2,2,0,0,2,2,1,1,1,1,1,1,0,0,0,2,2,1,1,0,0,0,1,1,1,1
2016 1st Quarter - Report,2,2,0,1,1,1,2,0,0,1,1,1,0,0,0,0,0,2,1,1,1,1,1,2,1,1,0,0,1,1,2,1,2,1,0,0,0,0,0,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2,3,1,1,2,1,1,1,1,0,0,1,1,1,1,2,2,0,1,2,2,1,1,1,1,1,1,0,0,0,2,2,0,0,0,0,0,1,1,1,1
2015 4th Quarter - Report,2,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,2,1,1,1,1,1,2,1,1,0,0,1,1,1,1,2,1,0,0,0,0,0,2,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,2,2,3,1,1,2,0,0,0,0,0,0,1,0,0,0,2,2,0,1,2,2,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1
2015 3rd Quarter - Report,2,2,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,2,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1
2015 2nd Quarter - Report,2,2,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1
2015 1st Quarter - Report,2,2,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1
2014 4th Quarter - Report,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,1,1
2014 3rd Quarter - Report,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,1,1
2014 2nd Quarter - Report,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,1,1
2014 1st Quarter - Report,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
2013 4th Quarter - Report,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0
2013 3rd Quarter - Report,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,3,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0
2013 2nd Quarter - Report,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
2013 1st Quarter - Report,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,3,1,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,1,0,0,0,0,0
2012 4th Quarter - Report,0,0,0,0,0,0,3,1,0,0,0,0,0,2,2,0,2,0,0,0,10,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,0,0,0,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,3,4,0,2,2,0,0,0,1,0,0,0,0,0
2012 3rd Quarter - Report,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,3,1,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
2012 2nd Quarter - Report,0,0,0,0,0,0,3,1,0,0,0,0,0,3,3,0,3,1,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0
2012 1st Quarter - Report,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,0,2,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,2,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,4,0,2,2,0,0,0,1,0,0,0,0,0
2011 4th Quarter - Report,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,2,0,0,0,3,1,0,0,0,0,2,2,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,8,0,0,1,2,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,4,2,0,0,0,0,2,0,0,0,2,3,0,2,2,0,0,0,2,0,0,1,0,0
2011 3rd Quarter - Report,0,0,0,0,0,0,1,2,0,0,1,0,1,4,4,0,4,1,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,1,7,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,4,0,0,1,2,2,2,0,0,1,0,0,1,0,0,0,1,2,0,0,2,0,5,0,0,0,0,0,2,0,0,0,3,3,0,2,2,0,0,0,4,0,0,0,0,0
2011 2nd Quarter - Report,0,0,0,0,0,0,1,2,0,0,0,0,2,3,3,0,3,1,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,0,0,3,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,1,0,0,0,3,3,0,2,2,0,0,0,3,0,0,0,0,0
2011 1st Quarter - Report,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,0,4,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,8,5,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,1,0,0,0,1,4,0,2,2,0,0,0,3,0,0,0,0,0
