season,12 computer,20,access 12,administration,advertising,america invents,american,application,aspects intellectual,bill,china interoperability,commercial,commission,communications privacy,competition in,competitiveness interpretation,computer,computer science,counterfeiting,cybersecurity,data issues,digital,digital trade,do,do not,expanding,expanding access,fairness high,family,hhs,hhs rulemaking,high skilled,human rights,immigrants,immigration innovation,implementation,implementation private,in china,indigenous,indigenous innovation,information sharing,innovation policy,internal,internet human,interoperability innovation,interpretation,interpretation application,invents,ip,ip rights,issues hhs,law enforcement,market,market access,not,not track,online advertising,piracy,proceedings related,property rights,provisions,public,recovery implementation,regarding,related it,related recovery,rights market,rights outside,rulemaking,rulemaking proceedings,safe,science education,section,sharing,skilled,skilled immigrants,smart,software patents,software piracy,spaces,spark,states asia,stem youth,student privacy,tax reform,threats,threats ip,track,trade related,trademark,united,united states,use,visa,visas,visas visas,white,wto agreement,xbox,youth
2018 4th Quarter - Report,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,2,0,2,2,0,0,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,1,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2018 3rd Quarter - Report,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,2,2,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2018 2nd Quarter - Report,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2018 1st Quarter - Report,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2017 4th Quarter - Report,1,4,1,0,0,0,0,1,1,0,1,0,0,1,0,1,2,2,0,2,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,3,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,2
2017 3rd Quarter - Report,2,3,2,0,0,0,1,1,1,0,1,0,0,1,1,1,2,2,0,1,1,1,1,0,0,2,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,3,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,2
2017 2nd Quarter - Report,2,3,2,0,0,0,1,1,1,0,1,0,0,2,1,1,2,2,0,1,1,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,3,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,2,2
2017 1st Quarter - Report,2,3,2,0,0,0,1,1,1,0,1,0,1,1,2,1,2,2,0,0,1,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,2,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,0,1,1,1,2,1,1,1,0,1,0,1,1,0,0,0,0,0,1,2,2
2016 4th Quarter - Report,2,0,2,1,0,1,2,1,1,2,1,0,3,2,2,1,3,3,0,0,3,2,0,0,0,2,2,0,1,1,1,0,1,0,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,1,0,1,1,1,2,1,1,1,0,1,1,1,1,2,1,4,2,0,1,2,2
2016 3rd Quarter - Report,2,0,2,1,0,1,2,2,1,3,1,0,3,1,2,1,3,3,0,1,2,2,0,0,0,2,2,0,1,1,1,0,1,0,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,1,1,0,0,0,1,2,1,1,1,1,1,1,1,2,2,3,0,0,0,1,1,0,1,1,1,2,1,2,1,0,1,1,1,1,2,1,4,2,0,1,2,2
2016 2nd Quarter - Report,2,0,2,1,1,1,1,2,1,3,1,0,3,1,2,1,3,3,0,1,2,2,0,0,0,2,2,0,1,1,1,0,1,0,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,0,0,0,1,2,1,1,1,1,1,1,1,2,3,3,0,0,0,1,1,0,1,1,1,2,1,2,1,0,1,1,1,1,2,1,4,2,0,1,2,2
2016 1st Quarter - Report,2,0,2,1,1,1,2,2,1,1,1,0,2,1,2,1,3,3,0,1,2,1,0,0,0,2,2,0,1,1,1,0,1,0,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,0,0,0,1,2,1,1,1,1,1,1,1,2,1,3,0,0,0,1,1,0,1,1,1,2,1,2,1,0,1,1,1,1,2,1,4,2,0,1,2,2
2015 4th Quarter - Report,0,0,0,1,1,1,2,2,1,1,1,0,2,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0,1,0,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,2,1,1,1,1,1,1,2,0,1,3,0,0,0,1,1,0,1,1,1,2,1,2,1,0,1,1,1,1,2,1,4,2,0,1,2,2
2015 3rd Quarter - Report,0,0,0,1,1,1,2,2,1,1,1,0,2,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,0,1,3,0,0,0,1,2,0,1,1,1,2,1,2,1,0,1,1,1,1,2,1,4,2,0,1,2,2
2015 2nd Quarter - Report,0,0,0,2,1,1,2,2,1,1,1,0,2,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,0,1,3,0,0,0,1,2,0,1,1,1,2,1,2,1,0,1,1,1,1,2,1,4,2,1,1,2,2
2015 1st Quarter - Report,0,0,0,2,1,1,1,2,1,1,1,0,2,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1,1,2,2,0,0,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,0,1,3,0,0,0,1,2,0,1,1,1,2,1,2,1,0,1,1,2,2,2,1,4,2,1,1,2,2
2014 4th Quarter - Report,0,0,0,2,1,2,0,2,1,0,1,0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,1,2,3,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,2,0,0,1,2,1,1,3,0,1,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,2,0,1,1,1,1,1,2,1,0,1,1,1,1,2,1,5,2,1,1,2,1
2014 3rd Quarter - Report,0,0,0,2,2,2,0,2,1,0,1,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,0,0,2,2,1,2,2,0,1,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1,2,0,1,1,1,1,1,2,1,0,1,1,1,1,2,2,4,2,1,1,2,1
2014 2nd Quarter - Report,0,0,0,2,2,2,0,2,1,0,1,0,2,1,2,1,0,0,1,0,1,0,0,2,2,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,2,2,2,1,2,2,0,1,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1,2,0,1,1,1,1,1,2,1,2,1,1,1,1,2,2,4,2,1,1,2,1
2014 1st Quarter - Report,0,0,0,2,2,2,0,2,1,1,1,0,2,1,2,1,0,0,1,0,1,0,0,2,2,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,2,2,2,2,2,2,1,2,1,0,1,2,0,1,1,1,2,1,1,0,2,1,0,0,0,1,2,0,0,1,0,1,1,2,1,2,1,1,1,1,2,2,4,2,1,1,1,0
2013 4th Quarter - Report,0,0,0,1,2,2,0,2,1,0,1,0,2,1,2,1,0,0,1,0,1,0,0,2,2,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,2,2,2,2,2,2,1,2,1,0,1,2,0,1,1,1,2,1,1,0,1,1,0,0,0,1,2,0,0,1,0,1,1,2,1,2,1,1,1,1,2,2,4,2,0,1,1,0
2013 3rd Quarter - Report,0,0,0,1,2,2,0,2,1,0,1,0,2,1,2,1,0,0,1,0,1,0,0,2,2,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,2,2,2,2,2,2,1,2,1,0,1,2,0,1,1,1,2,1,1,0,1,2,0,0,0,1,2,0,0,1,0,1,1,2,1,2,1,1,1,1,2,2,4,2,0,1,1,0
2013 2nd Quarter - Report,0,0,0,1,2,1,0,2,1,0,1,0,2,1,2,1,0,0,1,0,1,1,0,2,2,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,1,2,1,0,1,2,0,1,1,1,2,1,1,0,1,2,0,0,0,1,2,0,0,1,0,1,1,2,1,2,1,1,1,1,1,2,4,2,0,1,1,0
2013 1st Quarter - Report,0,0,0,1,2,1,0,2,1,0,1,0,2,1,2,1,0,0,1,0,1,0,0,2,2,0,0,0,1,1,1,0,1,0,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,1,2,1,0,1,2,0,1,1,1,2,1,1,0,1,2,0,0,0,1,2,0,0,1,0,1,1,2,1,2,1,1,1,1,1,1,4,2,1,1,1,0
2012 4th Quarter - Report,0,0,0,1,2,1,1,2,1,2,1,1,2,1,2,1,0,0,3,0,0,1,1,2,2,0,0,2,2,1,1,2,1,2,0,4,1,1,1,1,1,1,0,1,1,1,1,1,4,1,1,0,2,2,2,2,2,3,1,2,1,1,1,2,0,1,1,1,2,1,1,0,1,1,2,2,1,1,2,1,0,1,0,0,2,4,1,2,1,1,2,2,0,1,4,2,2,1,1,0
2012 3rd Quarter - Report,0,0,0,1,2,1,0,1,1,2,1,1,2,1,2,1,0,0,3,0,0,1,1,2,2,0,0,2,2,1,1,2,1,2,0,4,1,1,1,1,1,1,0,1,1,1,1,1,4,1,1,0,2,2,2,2,2,3,1,2,1,1,1,1,0,1,1,1,2,1,1,0,1,1,2,2,1,1,2,1,0,1,0,0,2,4,1,2,1,1,2,2,0,1,4,2,2,1,1,0
2012 2nd Quarter - Report,0,0,0,1,2,1,1,1,1,2,1,1,2,1,2,1,0,0,3,0,0,1,1,2,2,0,0,2,1,1,1,2,1,2,0,4,1,1,1,1,1,1,0,1,1,1,1,1,4,1,1,0,2,2,2,2,2,3,1,2,1,1,1,1,0,1,1,1,2,1,1,0,1,1,2,2,1,0,2,1,0,1,0,0,2,4,1,2,1,1,2,2,0,1,4,2,2,1,1,0
2012 1st Quarter - Report,0,0,0,1,2,1,4,1,1,2,1,1,1,1,2,1,0,0,3,0,0,1,1,2,2,0,0,2,1,1,1,2,1,2,0,3,1,1,1,1,1,1,0,1,1,1,1,1,3,1,1,0,2,2,2,2,2,2,1,2,1,2,1,1,0,1,1,1,2,1,1,0,1,1,2,2,0,0,2,1,0,1,0,0,1,4,1,2,1,1,1,1,0,1,4,2,2,1,1,0
2011 4th Quarter - Report,0,0,0,1,2,1,5,1,1,2,1,2,1,1,2,1,0,0,3,0,0,0,0,2,2,0,0,2,1,2,1,2,1,2,0,2,1,2,1,1,1,1,0,1,1,1,1,2,3,1,1,0,2,2,2,2,2,2,1,2,1,2,1,1,0,1,1,1,2,1,1,0,0,1,2,2,0,0,2,1,0,1,0,0,1,3,1,2,1,1,1,1,0,1,4,2,1,1,1,0
2011 3rd Quarter - Report,0,0,0,1,2,1,5,1,1,2,1,2,1,1,2,1,0,0,3,0,0,0,0,2,2,0,0,1,1,2,1,1,1,0,1,2,1,2,1,1,1,1,0,1,1,1,1,2,3,1,1,0,2,2,2,2,2,2,1,2,1,1,1,1,0,1,1,1,2,1,1,0,0,1,1,0,0,0,2,1,0,1,0,0,1,3,1,2,1,1,1,1,0,1,4,2,1,1,1,0
2011 2nd Quarter - Report,0,0,0,1,2,1,2,1,1,1,1,2,1,1,2,1,0,0,3,0,0,0,0,3,3,0,0,0,1,2,1,0,1,0,0,2,1,2,1,1,0,1,0,1,1,1,1,2,3,1,1,0,2,2,3,3,2,2,1,2,1,1,1,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1,2,1,3,1,1,1,1,0,1,4,2,1,1,1,0
2011 1st Quarter - Report,0,0,0,0,3,1,2,1,1,2,1,2,1,1,2,1,0,0,3,0,0,0,0,2,2,0,0,0,1,2,1,0,1,0,0,2,1,2,1,1,0,1,0,1,1,1,1,2,3,1,1,1,2,2,2,2,3,2,1,2,1,1,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,1,2,1,1,1,1,0,1,4,2,1,1,1,0
