season,accountability,ads,advertising,agreement,amendments,american,appropriations,around,around national,authorization,breach notification,commerce,communications privacy,competition,content,copyright,cybersecurity,discussions data,diversity,do,do not,efforts,encryption,enforcement,federal policy,general discussions,government,government surveillance,including additional,information,innovation,integrity,international tax,issues discussions,issues international,issues related,issues relevant,law,legal,legal assistance,litigation,media,modernization,more,more transparency,multi,multi stakeholder,mutual,mutual legal,national security,need,need reform,neutrality connectivity,not,not track,notification,online advertising,orders,patent,patent litigation,personal,personal data,platform,platform integrity,policy issues,privacy amendments,privacy protection,procedural,process,programs,protection,protections,providing,providing more,reform government,regarding need,regarding net,related orders,relevant,relevant technology,research,rights,safe,science,section,security breach,security related,stakeholder,storage,substantive,substantive procedural,surveillance,surveillance programs,tax policy,terrorism,track,track online,us,usa,usa freedom
2017 4th Quarter - Report,1,1,1,1,1,3,1,1,1,1,0,0,1,1,1,2,0,1,1,0,0,1,2,0,0,1,1,1,1,0,0,1,1,1,1,2,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,0,1,2,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0
2017 3rd Quarter - Report,1,0,1,1,1,3,1,1,1,1,0,0,1,0,1,2,0,1,1,0,0,1,2,0,0,1,1,1,1,0,0,1,1,1,1,2,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,0,1,2,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0
2017 2nd Quarter - Report,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,2,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0
2017 1st Quarter - Report,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0
2016 4th Quarter - Report,0,0,0,0,2,1,2,1,1,1,3,1,3,0,0,0,0,1,1,1,1,0,1,2,1,1,2,1,1,0,1,0,1,0,1,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1,1,1,3,0,1,2,1,0,0,0,0,1,2,3,1,2,1,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,0,0,0
2016 3rd Quarter - Report,0,0,0,0,2,1,2,1,1,1,3,1,3,0,0,0,0,1,1,1,1,0,1,2,1,1,2,1,1,0,1,0,1,0,1,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1,1,1,3,0,1,2,1,0,0,0,0,1,2,3,1,2,1,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,0,0,0
2016 2nd Quarter - Report,0,0,0,0,2,0,2,1,1,1,3,1,3,0,0,0,0,1,1,1,1,0,1,2,1,1,2,1,1,0,1,0,1,0,1,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1,1,1,3,0,1,2,1,0,0,0,0,1,2,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,0,0,0
2016 1st Quarter - Report,0,0,0,0,2,0,2,1,1,1,3,1,2,0,0,0,0,1,1,1,1,0,1,2,1,1,2,1,1,0,1,0,1,0,1,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1,1,1,3,0,1,2,1,0,0,0,0,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,0,0,0
2015 4th Quarter - Report,0,0,0,0,2,0,2,1,1,1,3,1,2,0,0,0,0,1,1,1,1,0,0,2,1,1,2,1,1,0,1,0,1,0,0,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,0,1,1,3,0,1,2,1,0,0,0,0,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,0,0,0
2015 3rd Quarter - Report,0,0,0,0,2,0,2,1,1,1,3,1,2,0,0,0,0,1,1,1,1,0,0,2,1,1,2,1,1,0,1,0,1,0,0,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,0,1,1,3,0,1,2,1,0,0,0,0,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,0,1,1,1,1,1,1,1,1,0,0,0
2015 2nd Quarter - Report,0,0,0,0,2,0,2,1,1,0,1,1,2,0,0,0,0,1,1,1,1,0,0,2,1,1,2,1,1,0,1,0,1,0,0,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,0,1,1,1,0,1,2,1,0,0,0,0,1,2,0,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,0,1,1,1,1,1,1,1,1,0,2,2
2015 1st Quarter - Report,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,2,1,1,2,1,1,0,1,0,0,1,0,1,1,2,1,1,1,0,0,1,1,2,2,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,2,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,0,1,1,1,1,0,0,1,1,0,0,0
2014 4th Quarter - Report,0,0,0,0,1,1,9,1,1,2,2,3,1,0,0,0,1,1,1,1,1,0,0,1,1,1,2,1,1,1,2,1,0,1,0,1,1,1,1,1,3,0,1,1,1,2,2,1,1,1,1,1,0,1,1,2,0,1,6,3,1,1,0,0,1,1,0,1,2,1,0,1,2,1,1,1,1,1,1,1,2,1,0,3,0,2,1,2,0,1,1,2,1,0,0,1,1,0,1,1
2014 3rd Quarter - Report,0,0,1,0,1,1,6,1,1,2,2,3,1,0,0,0,1,1,1,1,1,0,0,1,1,1,2,1,1,1,2,1,0,1,0,1,1,1,1,1,3,0,1,1,1,2,2,1,1,1,1,1,0,1,1,2,1,1,6,3,1,1,0,0,1,1,0,1,2,1,0,1,1,1,1,1,1,1,1,1,2,1,0,3,0,2,1,2,0,1,1,2,1,0,0,1,1,0,1,1
2014 2nd Quarter - Report,0,0,1,0,1,0,6,1,1,2,2,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,2,1,0,0,0,2,1,0,1,1,3,0,1,1,1,2,2,1,1,1,1,1,0,1,1,2,1,1,6,3,1,1,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,3,0,2,1,2,0,1,1,2,1,0,0,1,1,0,1,1
2014 1st Quarter - Report,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,2,1,0,0,0,0,1,0,1,1,3,0,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1,6,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,2,0,1,1,2,1,0,0,1,1,0,2,2
2013 4th Quarter - Report,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,2,1,0,1,0,0,1,0,0,0,3,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,6,3,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,2,1,0,0,1,1,0,2,2
2013 3rd Quarter - Report,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2013 2nd Quarter - Report,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2013 1st Quarter - Report,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0
2012 4th Quarter - Report,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,1,1,0,0,1,0,3,0,2,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0
2012 3rd Quarter - Report,2,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,3,2,1,0,1,0,2,2,0,0,1,0,4,0,2,0,6,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0
2012 2nd Quarter - Report,2,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,3,2,1,0,1,0,3,2,0,0,1,0,4,0,2,0,7,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0
2012 1st Quarter - Report,2,0,1,1,1,1,0,0,0,0,2,0,2,0,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,2,2,0,0,0,1,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0
2011 4th Quarter - Report,2,0,1,1,1,1,0,0,0,0,2,0,2,0,0,1,0,0,0,2,2,0,0,1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,2,2,0,0,0,1,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0
2011 3rd Quarter - Report,2,0,0,0,1,1,0,0,0,0,2,0,2,0,0,1,0,0,0,2,2,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,2,2,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0
2011 2nd Quarter - Report,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2011 1st Quarter - Report,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
